[DEBUG] 2017-04-30 18:26:09.659 [main] PropertyBinder - Building property password
[DEBUG] 2017-04-30 18:26:09.659 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(game.user), mappingColumn=regdate, insertable=true, updatable=true, unique=false}
[DEBUG] 2017-04-30 18:26:09.659 [main] PropertyBinder - MetadataSourceProcessor property timestamp with lazy=false
[DEBUG] 2017-04-30 18:26:09.659 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [ru.atom.bombergirl.model.User:timestamp]
[DEBUG] 2017-04-30 18:26:09.659 [main] SimpleValueBinder - building SimpleValue for timestamp
[DEBUG] 2017-04-30 18:26:09.659 [main] PropertyBinder - Building property timestamp
[DEBUG] 2017-04-30 18:26:09.660 [main] AnnotationBinder - Binding entity from annotated class: ru.atom.bombergirl.model.Token
[DEBUG] 2017-04-30 18:26:09.661 [main] Ejb3Column - Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
[DEBUG] 2017-04-30 18:26:09.661 [main] EntityBinder - Import with entity name Token
[DEBUG] 2017-04-30 18:26:09.661 [main] EntityBinder - Bind entity ru.atom.bombergirl.model.Token on table token
[DEBUG] 2017-04-30 18:26:09.664 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(game.token), mappingColumn=value, insertable=true, updatable=true, unique=false}
[DEBUG] 2017-04-30 18:26:09.664 [main] PropertyBinder - MetadataSourceProcessor property value with lazy=false
[DEBUG] 2017-04-30 18:26:09.664 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [ru.atom.bombergirl.model.Token:value]
[DEBUG] 2017-04-30 18:26:09.664 [main] SimpleValueBinder - building SimpleValue for value
[DEBUG] 2017-04-30 18:26:09.665 [main] PropertyBinder - Building property value
[DEBUG] 2017-04-30 18:26:09.667 [main] Ejb3Column - Binding column: Ejb3JoinColumn{logicalColumnName='null', referencedColumn='null', mappedBy=''}
[DEBUG] 2017-04-30 18:26:09.667 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(game.token), mappingColumn=user, insertable=true, updatable=true, unique=false}
[DEBUG] 2017-04-30 18:26:09.670 [main] PropertyBinder - Building property user
[DEBUG] 2017-04-30 18:26:09.670 [main] AnnotationBinder - Binding entity from annotated class: ru.atom.bombergirl.model.Result
